gene_id,BMi48B3,BMi48B4,CTRL48B1,CTRL48B2,TX48h,CTRL48h,log2FoldChange,pvalue,padj,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,BMi48B3_count,BMi48B4_count,CTRL48B1_count,CTRL48B2_count,BMi48B3_fpkm,BMi48B4_fpkm,CTRL48B1_fpkm,CTRL48B2_fpkm
ENSG00000159167,418.7721866,513.0444964,4726.246055,4735.103978,465.9083415,4730.675016,-3.343438643,6.99105245957346e-220,1.25877077285738e-216,STC1,8,23841915,23854807,-,4149,protein_coding,stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373],-,450,563,4682,4183,7.069446591,8.684576797,79.49057974,78.96738916
ENSG00000151632,3253.394587,3215.868611,247.3153104,293.1847789,3234.631599,270.2500447,3.584590033,1.96520286728518e-210,3.24356733245419e-207,AKR1C2,10,4987400,5018031,-,6461,protein_coding,aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385],-,3496,3529,245,259,35.26858386,34.95711774,2.6711239,3.139810032
ENSG00000120875,145.174358,193.1890466,2734.600718,2722.43009,169.1817023,2728.515404,-4.010397692,5.87669923503866e-206,8.95337731147506e-203,DUSP4,8,29333064,29350668,-,7257,protein_coding,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070],-,156,212,2709,2405,1.401147364,1.869659143,26.2953873,25.95740704
ENSG00000011426,1117.656436,957.7438113,7858.57017,7376.030964,1037.700124,7617.300567,-2.876208371,6.66265923171968e-205,9.42575919596001e-202,ANLN,7,36389806,36453791,+,6012,protein_coding,anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082],-,1201,1051,7785,6516,13.02088113,11.18838607,91.21522523,84.89174355
ENSG00000103044,92.12988105,110.2635596,2209.68659,2108.892831,101.1967203,2159.28971,-4.414629101,2.24367902466963e-204,2.96255378417378e-201,HAS3,16,69105564,69118719,+,5289,protein_coding,hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820],-,99,121,2189,1863,1.220050947,1.464183482,29.15411647,27.58942426
ENSG00000187678,45.5996381,42.82964713,1998.711488,1943.622646,44.21464261,1971.167067,-5.478864603,4.10947564261922e-197,5.08701716110727e-194,SPRY4,5,142310427,142326455,-,6565,protein_coding,sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533],-,49,47,1980,1717,0.486494224,0.458191288,21.24506918,20.48513897
ENSG00000135318,502.5266239,585.9460235,4203.350827,4347.964231,544.2363237,4275.657529,-2.973415303,3.25733639208931e-187,3.79498850480711e-184,NT5E,6,85449584,85495791,+,4533,protein_coding,5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021],-,540,643,4164,3841,7.764694614,9.078392468,64.70721254,66.36849016
ENSG00000116285,1251.663535,1316.783832,6925.838142,6787.397431,1284.223684,6856.617786,-2.416566996,1.71615101776335e-185,1.88833816987894e-182,ERRFI1,1,8004404,8026308,-,4186,protein_coding,ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185],-,1345,1445,6861,5996,20.94302442,22.09287946,115.4558346,112.1929971
ENSG00000175063,577.9056175,541.2938382,3839.948738,3888.377281,559.5997278,3864.163009,-2.787808221,7.51380665852945e-182,7.83255024625444e-179,UBE2C,20,45812576,45816957,+,1286,protein_coding,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937],-,621,594,3804,3435,31.47508926,29.56168441,208.3661799,209.2132194
ENSG00000057019,6402.561431,6797.156126,27277.36457,27447.30245,6599.858778,27362.33351,-2.051654869,5.15498399079723e-181,5.1049806460865e-178,DCBLD2,3,98795941,98901689,-,11274,protein_coding,"discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]",-,6880,7459,27022,24247,39.77651652,42.34345357,168.8368143,168.4547772
ENSG00000125398,385.2704117,400.0471295,3032.388541,3139.001514,392.6587706,3085.695027,-2.974024556,1.04163134681802e-177,9.82407164527508e-175,SOX9,17,72121020,72126420,+,3935,protein_coding,SRY-box 9 [Source:HGNC Symbol;Acc:HGNC:11204],HMG,414,439,3004,2773,6.857596746,7.14008667,53.7753049,55.19611142
ENSG00000244405,53.04447697,69.25645067,1717.07487,1726.281034,61.15046382,1721.677952,-4.813855651,1.51667346388653e-176,1.3654197557153e-173,ETV5,3,186046308,186110318,-,5802,protein_coding,ETS variant 5 [Source:HGNC Symbol;Acc:HGNC:3494],ETS,57,76,1701,1525,0.640344185,0.838338802,20.65162731,20.58711398
ENSG00000170485,458.7881955,464.7472348,3283.741652,3399.358653,461.7677152,3341.550153,-2.855131151,1.91052743246494e-176,1.64521331858263e-173,NPAS2,2,100820152,100996829,+,12491,protein_coding,neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895],bHLH,493,510,3253,3003,2.572563182,2.613103837,18.34486604,18.8304836
ENSG00000088325,889.6582453,926.7606623,4994.75982,4919.617951,908.2094538,4957.188886,-2.448390025,5.0766692951518e-169,4.18952133582402e-166,TPX2,20,31739271,31801805,+,3605,protein_coding,"TPX2, microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]",-,956,1017,4948,4346,17.28498321,18.05507862,96.68344391,94.42517593
ENSG00000166106,2723.880423,2388.436279,222.0790543,227.5295003,2556.158351,224.8042773,3.507651275,1.61850047988351e-168,1.28224082018291e-165,ADAMTS15,11,130448974,130476641,+,5673,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305],-,2927,2621,220,201,33.62995434,29.56908851,2.731728836,2.775151031
ENSG00000117399,356.421661,413.7161659,3052.577546,3242.012382,385.0689135,3147.294964,-3.030357795,9.3439799906314e-166,7.11795644978637e-163,CDC20,1,43358955,43363203,+,2038,protein_coding,cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723],-,383,454,3024,2864,12.24929047,14.25723713,104.521419,110.0708154
ENSG00000139318,13.95907289,12.75776723,2958.698673,3022.406794,13.35842006,2990.552734,-7.807092785,5.09473892963582e-165,3.73727404593952e-162,DUSP6,12,89347232,89353271,-,4632,protein_coding,dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072],-,15,14,2931,2670,0.211076093,0.19343862,44.57331736,45.14878426
ENSG00000148773,1028.318369,1135.441283,6666.409429,5983.686261,1081.879826,6325.047845,-2.547589617,1.04735221175509e-160,7.4085206807219e-158,MKI67,10,128096659,128126385,-,12807,protein_coding,marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107],-,1105,1246,6604,5286,5.623817351,6.226648251,36.32347123,32.32831722
ENSG00000170006,446.6903324,456.545813,3063.681499,2995.239093,451.6180727,3029.460296,-2.745906942,2.40986970859668e-158,1.64585791201607e-155,TMEM154,4,152618632,152680165,-,11587,protein_coding,transmembrane protein 154 [Source:HGNC Symbol;Acc:HGNC:26489],-,480,501,3035,2646,2.700141782,2.767262888,18.45080752,17.88636886
ENSG00000163817,7377.835323,6146.509997,1036.705403,997.2810434,6762.17266,1016.993223,2.732826967,5.11030771529049e-158,3.37382515363478e-155,SLC6A20,3,45755450,45796535,-,6651,protein_coding,solute carrier family 6 member 20 [Source:HGNC Symbol;Acc:HGNC:30927],-,7928,6745,1027,881,77.6949931,64.90508247,10.87705152,10.37510045
ENSG00000187134,3495.351851,3330.688516,529.9613795,525.2422295,3413.020183,527.6018045,2.693372662,1.77479284444645e-157,1.13392087345505e-154,AKR1C1,10,4963253,4983283,+,8765,protein_coding,aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384],-,3756,3655,525,464,27.9312262,26.68819246,4.219248191,4.146382949
ENSG00000188229,3916.915852,4575.48209,20411.08399,21564.36308,4246.198971,20987.72354,-2.305199633,1.7980957053025e-156,1.11290886060066e-153,TUBB4B,9,137241213,137243707,+,2111,protein_coding,tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771],-,4209,5021,20220,19050,129.9592006,152.2248967,674.7153767,706.8220616
ENSG00000117525,256.8469411,253.3328064,2385.330933,2199.451836,255.0898738,2292.391384,-3.168116835,3.5153870666681e-155,2.10987140128571e-152,F3,1,94529225,94541800,-,2875,protein_coding,"coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]",-,276,278,2363,1943,6.257308567,6.188574832,57.89666694,52.93443736
ENSG00000182326,1950.547785,1892.705895,166.5592907,138.1024827,1921.62684,152.3308867,3.65273068,3.10399726042021e-152,1.80816969823184e-149,C1S,12,6988259,7071032,+,6462,protein_coding,complement C1s [Source:HGNC Symbol;Acc:HGNC:1247],-,2096,2077,165,122,21.14173688,20.57089762,1.798641793,1.478755002
ENSG00000167553,1835.152782,2021.194837,8508.656129,8817.051132,1928.173809,8662.85363,-2.167450832,8.74755022557891e-149,4.95011370765188e-146,TUBA1C,12,49188736,49274603,+,4631,protein_coding,tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768],-,1972,2218,8429,7789,27.75546249,30.65282182,128.212085,131.7377594
ENSG00000089685,281.9732723,292.5173772,2238.960647,2397.549659,287.2453247,2318.255153,-3.012317242,1.27846404263039e-147,7.03368300787155e-145,BIRC5,17,78214186,78225636,+,3815,protein_coding,baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593],-,303,321,2218,2118,5.176836216,5.385105178,40.95384567,43.48452828
ENSG00000166851,340.6013784,363.596366,2614.476139,2499.42854,352.0988722,2556.95234,-2.860350084,1.83366548003865e-147,9.81556175612042e-145,PLK1,16,23677656,23690367,+,4760,protein_coding,polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077],-,366,399,2590,2208,5.011762376,5.364751908,38.32838332,36.33251538
ENSG00000171552,629.0888848,689.8306995,3635.030338,3711.787221,659.4597921,3673.408779,-2.477510099,2.11520306923041e-142,1.10246610497836e-139,BCL2L1,20,31664452,31723989,-,3314,protein_coding,BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992],-,676,757,3601,3279,13.29567929,14.61931673,76.54173585,77.49831541
ENSG00000101188,616.0604167,609.6390197,3331.185814,3530.66921,612.8497182,3430.927512,-2.484830355,1.61893870383966e-141,8.2217179405765e-139,NTSR1,20,62708837,62762771,+,4237,protein_coding,neurotensin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8039],-,662,669,3300,3119,10.18394076,10.10534985,54.86345653,57.65809117
ENSG00000106366,308.0302084,289.7835699,2257.130752,2215.299662,298.9068891,2236.215207,-2.903550133,1.37976453103559e-140,6.83190407542272e-138,SERPINE1,7,101127089,101139266,+,3190,protein_coding,serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583],-,331,318,2236,1957,6.763222099,6.37999204,49.37519298,48.05111751
ENSG00000134333,4339.410458,4959.126376,19291.60366,19433.96249,4649.268417,19362.78308,-2.058144575,1.17780973293937e-139,5.68968282209689e-137,LDHA,11,18394388,18408425,+,6210,protein_coding,lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535],-,4663,5442,19111,17168,48.9429513,56.08550533,216.7801449,216.5366702
ENSG00000249992,127.4928657,154.9157449,1612.092044,1764.768611,141.2043053,1688.430328,-3.578746308,2.12638361538876e-136,1.00274175919975e-133,TMEM158,3,45224466,45226278,-,1813,protein_coding,transmembrane protein 158 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:30293],-,137,170,1597,1559,4.925372734,6.001154629,62.04900218,67.35218057
ENSG00000182481,761.2347747,847.4802517,4311.362003,4089.871067,804.3575132,4200.616535,-2.38464101,3.95079068922632e-135,1.81975256722829e-132,KPNA2,17,68035519,68046842,+,3140,protein_coding,karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395],-,818,930,4271,3613,16.98009026,18.95557664,95.81370039,90.12424992
ENSG00000169710,5222.554469,5790.203784,21049.05654,22636.35531,5506.379127,21842.70593,-1.987886422,1.03427600540229e-134,4.65565240068133e-132,FASN,17,82078333,82098332,-,9364,protein_coding,fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594],-,5612,6354,20852,19997,39.06362985,43.42796762,156.8606467,167.2656611
ENSG00000087586,426.2170255,496.6416529,2988.98218,2923.923876,461.4293392,2956.453028,-2.679397715,1.67609505181735e-134,7.37705302139877e-132,AURKA,20,56369389,56392337,-,2928,protein_coding,aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393],-,458,545,2961,2583,10.19555201,11.91267051,71.23526182,69.09660091
ENSG00000138061,1311.222246,1381.483937,35.33075863,45.27950254,1346.353092,40.30513059,5.070068096,1.11132663289152e-131,4.78498593283683e-129,CYP1B1,2,38066973,38109902,-,6014,protein_coding,cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597],-,1409,1516,35,40,15.27087451,16.13316136,0.40995134,0.520954648
ENSG00000136997,701.6760638,843.8351753,4288.144648,4276.649015,772.7556195,4282.396831,-2.470040122,4.24993583143237e-128,1.79094104419893e-125,MYC,8,127735434,127741434,+,3001,protein_coding,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]",bHLH,754,926,4248,3778,16.37652261,19.7482534,99.71171879,98.60508411
ENSG00000188064,118.1868171,167.6735122,1654.488954,1742.12886,142.9301646,1698.308907,-3.56932602,3.54518199260658e-124,1.46283071969929e-121,WNT7B,22,45920362,45977129,-,5051,protein_coding,Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787],-,127,184,1639,1539,1.638863154,2.331439523,22.85752876,23.86517378
ENSG00000113083,717.4963464,814.6745645,3779.381724,3858.945604,766.0854554,3819.163664,-2.317395942,9.30512105657947e-123,3.76116791115537e-120,LOX,5,122063195,122078360,-,5547,protein_coding,lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664],-,771,894,3744,3409,9.059673594,10.31485323,47.54505609,48.13624236
ENSG00000166741,3666.583145,4389.583196,654.1237598,684.8524759,4028.08317,669.4881179,2.589490762,1.01355620052927e-122,4.01489882153653e-120,NNMT,11,114257787,114313285,+,2919,protein_coding,nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861],-,3940,4817,648,605,87.97888744,105.6151576,15.63754602,16.2339659
ENSG00000120738,146.1049629,98.41706148,1573.732935,1614.214266,122.2610122,1593.9736,-3.70596024,1.78761531218383e-122,6.94225664178685e-120,EGR1,5,138465490,138469315,+,3138,protein_coding,early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238],zf-C2H2,157,108,1559,1426,3.261092007,2.202695762,34.99619806,35.59343776
ENSG00000068489,219.6227467,230.5510792,1723.131571,1839.479791,225.086913,1781.305681,-2.983951171,1.88990428917771e-122,7.19835468297186e-120,PRR11,17,59155499,59204705,+,4080,protein_coding,proline rich 11 [Source:HGNC Symbol;Acc:HGNC:25619],-,236,253,1707,1625,3.770232899,3.968661499,29.47141907,31.1958305
ENSG00000151012,1907.739961,2103.209055,204.9184001,251.3012391,2005.474508,228.1098196,3.1398903,4.04761528383705e-122,1.51258619455994e-119,SLC7A11,4,138164097,138242349,-,9645,protein_coding,solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059],-,2050,2308,203,222,13.85376983,15.31500957,1.482591466,1.80282716
ENSG00000147041,242.8878682,267.0018427,2024.957195,1857.591592,254.9448555,1941.274393,-2.928789773,6.35367171538936e-122,2.33038559250003e-119,SYTL5,X,38006582,38128819,+,4791,protein_coding,synaptotagmin like 5 [Source:HGNC Symbol;Acc:HGNC:15589],-,261,293,2006,1641,3.550836499,3.914039006,29.49391659,26.82784323
ENSG00000107731,2740.63131,3210.400996,387.6288947,452.7950254,2975.516153,420.2119601,2.826024843,3.7409776725204e-121,1.34716006876253e-118,UNC5B,10,71212570,71302864,+,6841,protein_coding,unc-5 netrin receptor B [Source:HGNC Symbol;Acc:HGNC:12568],-,2945,3523,384,400,28.05963695,32.9592069,3.954024207,4.579770872
ENSG00000186193,212.1779079,211.4144284,1658.526755,1819.104014,211.7961681,1738.815385,-3.036991975,6.5637881264061e-121,2.32147120770713e-118,SAPCD2,9,137062124,137070588,-,3848,protein_coding,suppressor APC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28055],-,228,232,1643,1607,3.862034263,3.858660963,30.07670041,32.71027258
ENSG00000018408,965.9678437,1093.522905,4630.348281,4767.931617,1029.745375,4699.139949,-2.189855175,3.25946895310224e-120,1.13257968570426e-117,WWTR1,3,149517235,149736714,-,8413,protein_coding,WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042],-,1038,1200,4587,4212,8.041976569,9.128807666,38.40657159,39.213971
ENSG00000131747,1990.563794,1766.039492,7545.640594,7524.321334,1878.301643,7534.980964,-2.004298575,1.33656417804556e-119,4.56413622592594e-117,TOP2A,17,40388516,40417950,-,6437,protein_coding,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989],-,2139,1938,7475,6647,21.65925998,19.2687687,81.80039065,80.88081511
ENSG00000171951,45.5996381,46.47472348,1181.056789,1042.560546,46.03718079,1111.808667,-4.594396616,2.61380680156106e-119,8.77441652740989e-117,SCG2,2,223596940,223602503,-,2719,protein_coding,secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575],-,49,51,1170,921,1.174635741,1.200451638,30.31128472,26.53100933
ENSG00000130635,6465.842561,6049.004205,1517.203721,1614.214266,6257.423383,1565.708993,1.999183767,2.31617674291419e-118,7.64569942835973e-116,COL5A1,9,134641774,134844843,+,11189,protein_coding,collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209],-,6948,6638,1503,1426,40.47481522,37.96904502,9.462271316,9.982322611
ENSG00000171848,311.7526278,301.6300681,1991.645337,1966.262398,306.6913479,1978.953867,-2.690029288,1.03772010901368e-117,3.36935811133197e-115,RRM2,2,10120698,10131419,+,5323,protein_coding,ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452],-,335,331,1973,1737,4.102085231,3.979744833,26.1094852,25.55916738
ENSG00000130164,1724.410804,2012.082146,7840.400066,8411.799584,1868.246475,8126.099825,-2.120647613,4.68094814794136e-116,1.49533643577623e-113,LDLR,19,11089362,11133816,+,7718,protein_coding,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547],-,1853,2208,7767,7431,15.64901417,18.30956366,70.88857084,75.41293385
ENSG00000123416,1806.304032,2044.887833,7847.466218,8729.888089,1925.595932,8288.677154,-2.105585681,9.98605104048864e-116,3.13942423663362e-113,TUBA1B,12,49127782,49131397,-,3574,protein_coding,tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809],-,1941,2244,7774,7712,35.39870106,40.18389259,153.2207832,169.0113312
ENSG00000026025,5694.371133,6817.204046,25113.10324,25496.88788,6255.787589,25304.99556,-2.016098973,2.14271112967997e-115,6.63102134913149e-113,VIM,10,17228259,17237593,+,5158,protein_coding,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],-,6119,7481,24878,22524,77.32420334,92.82437139,339.7518385,342.0326227
ENSG00000113368,504.3878336,528.5360709,2716.430614,2611.495309,516.4619523,2663.962961,-2.366878037,6.10992492781972e-115,1.86174112492919e-112,LMNB1,5,126776623,126837020,+,3633,protein_coding,lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637],-,542,580,2691,2307,9.724118162,10.2175388,52.17662573,49.73768258
ENSG00000175602,876.6297773,1010.597418,4411.297578,4887.922299,943.6135978,4649.609938,-2.300427739,9.23518391800843e-115,2.77139473757689e-112,CCDC85B,11,65890112,65891635,+,1524,protein_coding,coiled-coil domain containing 85B [Source:HGNC Symbol;Acc:HGNC:24926],-,942,1109,4370,4318,40.28860913,46.57257804,201.9873446,221.9223388
ENSG00000175832,48.39145267,68.34518159,1087.177916,1135.383526,58.36831713,1111.280721,-4.249021473,1.32380724509148e-114,3.91333228302715e-112,ETV4,17,43527844,43579620,-,3607,protein_coding,ETS variant 4 [Source:HGNC Symbol;Acc:HGNC:3493],ETS,52,75,1077,1003,0.939666059,1.330757189,21.03280769,21.78001329
ENSG00000137331,184.2597621,139.4241704,1557.581731,1697.981345,161.8419663,1627.781538,-3.330880214,1.97436540574136e-114,5.75062959207549e-112,IER3,6,30743199,30744554,-,1356,protein_coding,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392],-,198,153,1543,1500,9.517477079,7.221300891,80.15561053,86.64328689
ENSG00000117724,678.4109423,689.8306995,3171.692675,3067.686297,684.1208209,3119.689486,-2.189162709,2.02650373208008e-112,5.81694679964899e-110,CENPF,1,214603195,214664588,+,11690,protein_coding,centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857],-,729,757,3142,2710,4.064708035,4.144432477,18.93299671,18.15758682
ENSG00000181104,4043.478113,4254.715371,12986.57742,13509.13958,4149.096742,13247.8585,-1.674809503,5.72571444531508e-110,1.62005000434158e-107,F2R,5,76716043,76735781,+,4066,protein_coding,coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537],-,4345,4669,12865,11934,69.6528266,73.49202254,222.8794904,229.8910209
ENSG00000181649,355.4910562,446.521853,2523.625617,2815.25307,401.0064546,2669.439344,-2.734072491,1.56026313621599e-109,4.35247488392871e-107,PHLDA2,11,2928273,2929455,-,955,protein_coding,pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385],-,382,490,2500,2487,26.07211903,32.83797806,184.401448,203.9744466
ENSG00000196230,3259.908821,3915.72327,14344.28801,14543.77622,3587.816046,14444.03211,-2.009196969,1.08016548721518e-108,2.97135522774775e-106,TUBB,6,30720201,30725426,+,3359,protein_coding,tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778],-,3503,4297,14210,12848,67.97457052,81.87268812,297.9969122,299.5910767
ENSG00000171617,440.1760984,340.8146388,2620.53284,2480.184752,390.4953686,2550.358796,-2.708019712,2.14361326862467e-106,5.8159458079973e-104,ENC1,5,74627406,74641424,-,5858,protein_coding,ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345],-,473,374,2596,2191,5.262936284,4.086071245,31.21641392,29.29519276
ENSG00000132688,997.608409,1078.031331,4098.368001,4214.389699,1037.81987,4156.37885,-2.001570897,3.8539882722511e-106,1.03151475297575e-103,NES,1,156668763,156677397,-,5558,protein_coding,nestin [Source:HGNC Symbol;Acc:HGNC:7756],-,1072,1183,4060,3723,12.57165869,13.62228312,51.45590027,52.46598654
ENSG00000132507,2066.873392,2354.719323,8132.131187,8511.41449,2210.796357,8321.772838,-1.912148998,8.62521883404795e-106,2.27774778969538e-103,EIF5A,17,7306999,7312463,+,2815,protein_coding,eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300],-,2221,2584,8056,7519,51.42644437,58.74863901,201.5898902,209.2112505
ENSG00000074800,13587.76155,15419.58423,47152.43047,48811.30374,14503.67289,47981.8671,-1.726040248,9.24574274175306e-106,2.40948922030475e-103,ENO1,1,8861000,8879250,-,5276,protein_coding,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350],-,14601,16921,46711,43120,180.3823967,205.2602902,623.6516387,640.1434632
ENSG00000090889,510.9020676,509.3994201,2589.239883,2433.773261,510.1507439,2511.506572,-2.299797776,2.94853206406367e-105,7.58423715075909e-103,KIF4A,X,70290090,70420832,+,4533,protein_coding,kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339],-,549,559,2565,2150,7.894106191,7.892412736,39.85926997,37.14976669
ENSG00000115758,2320.928519,2450.402577,7722.294387,8064.279402,2385.665548,7893.286895,-1.726103199,8.71791921035745e-103,2.21368087026077e-100,ODC1,2,10439968,10448504,-,2968,protein_coding,ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109],-,2494,2689,7650,7124,54.77077565,57.98432496,181.562113,188.0023872
